DOD;f_capacity_cyc
0;0,0000000000
0,001;0,0000038500
0,002;0,0000077037
0,003;0,0000115556
0,004;0,0000154074
0,005;0,0000192593
0,006;0,0000231111
0,007;0,0000269630
0,008;0,0000308148
0,009;0,0000346667
0,01;0,0000385185
0,011;0,0000423704
0,012;0,0000462222
0,013;0,0000500741
0,014;0,0000539259
0,015;0,0000577778
0,016;0,0000616296
0,017;0,0000654815
0,018;0,0000693333
0,019;0,0000731852
0,02;0,0000770370
0,021;0,0000808889
0,022;0,0000847407
0,023;0,0000885926
0,024;0,0000924444
0,025;0,0000962963
0,026;0,0001001480
0,027;0,0001040000
0,028;0,0001078520
0,029;0,0001117040
0,03;0,0001155560
0,031;0,0001194070
0,032;0,0001232590
0,033;0,0001271110
0,034;0,0001309630
0,035;0,0001348150
0,036;0,0001386670
0,037;0,0001425190
0,038;0,0001463700
0,039;0,0001502220
0,04;0,0001540740
0,041;0,0001579260
0,042;0,0001617780
0,043;0,0001656300
0,044;0,0001694810
0,045;0,0001733330
0,046;0,0001771850
0,047;0,0001810370
0,048;0,0001848890
0,049;0,0001887410
0,05;0,0001925930
0,051;0,0001964440
0,052;0,0002002960
0,053;0,0002041480
0,054;0,0002080000
0,055;0,0002118520
0,056;0,0002157040
0,057;0,0002195560
0,058;0,0002234070
0,059;0,0002272590
0,06;0,0002311110
0,061;0,0002349630
0,062;0,0002388150
0,063;0,0002426670
0,064;0,0002465190
0,065;0,0002503700
0,066;0,0002542220
0,067;0,0002580740
0,068;0,0002619260
0,069;0,0002657780
0,07;0,0002696300
0,071;0,0002734810
0,072;0,0002773330
0,073;0,0002811850
0,074;0,0002850370
0,075;0,0002888890
0,076;0,0002927410
0,077;0,0002965930
0,078;0,0003004440
0,079;0,0003042960
0,08;0,0003081480
0,081;0,0003120000
0,082;0,0003158520
0,083;0,0003197040
0,084;0,0003235560
0,085;0,0003274070
0,086;0,0003312590
0,087;0,0003351110
0,088;0,0003389630
0,089;0,0003428150
0,09;0,0003466670
0,091;0,0003505190
0,092;0,0003543700
0,093;0,0003582220
0,094;0,0003620740
0,095;0,0003659260
0,096;0,0003697780
0,097;0,0003736300
0,098;0,0003774810
0,099;0,0003813330
0,1;0,0003851850
0,101;0,0003890370
0,102;0,0003928890
0,103;0,0003967410
0,104;0,0004005930
0,105;0,0004044440
0,106;0,0004082960
0,107;0,0004121480
0,108;0,0004160000
0,109;0,0004198520
0,11;0,0004237040
0,111;0,0004275560
0,112;0,0004314070
0,113;0,0004352590
0,114;0,0004391110
0,115;0,0004429630
0,116;0,0004468150
0,117;0,0004506670
0,118;0,0004545190
0,119;0,0004583700
0,12;0,0004622220
0,121;0,0004660740
0,122;0,0004699260
0,123;0,0004737780
0,124;0,0004776300
0,125;0,0004814810
0,126;0,0004853330
0,127;0,0004891850
0,128;0,0004930370
0,129;0,0004968890
0,13;0,0005007410
0,131;0,0005045930
0,132;0,0005084440
0,133;0,0005122960
0,134;0,0005161480
0,135;0,0005200000
0,136;0,0005238520
0,137;0,0005277040
0,138;0,0005315560
0,139;0,0005354070
0,14;0,0005392590
0,141;0,0005431110
0,142;0,0005469630
0,143;0,0005508150
0,144;0,0005546670
0,145;0,0005585190
0,146;0,0005623700
0,147;0,0005662220
0,148;0,0005700740
0,149;0,0005739260
0,15;0,0005777780
0,151;0,0005816300
0,152;0,0005854810
0,153;0,0005893330
0,154;0,0005931850
0,155;0,0005970370
0,156;0,0006008890
0,157;0,0006047410
0,158;0,0006085930
0,159;0,0006124440
0,16;0,0006162960
0,161;0,0006201480
0,162;0,0006240000
0,163;0,0006278520
0,164;0,0006317040
0,165;0,0006355560
0,166;0,0006394070
0,167;0,0006432590
0,168;0,0006471110
0,169;0,0006509630
0,17;0,0006548150
0,171;0,0006586670
0,172;0,0006625190
0,173;0,0006663700
0,174;0,0006702220
0,175;0,0006740740
0,176;0,0006779260
0,177;0,0006817780
0,178;0,0006856300
0,179;0,0006894810
0,18;0,0006933330
0,181;0,0006971850
0,182;0,0007010370
0,183;0,0007048890
0,184;0,0007087410
0,185;0,0007125930
0,186;0,0007164440
0,187;0,0007202960
0,188;0,0007241480
0,189;0,0007280000
0,19;0,0007318520
0,191;0,0007357040
0,192;0,0007395560
0,193;0,0007434070
0,194;0,0007472590
0,195;0,0007511110
0,196;0,0007549630
0,197;0,0007588150
0,198;0,0007626670
0,199;0,0007665190
0,2;0,0007703700
0,201;0,0007742220
0,202;0,0007780740
0,203;0,0007819260
0,204;0,0007857780
0,205;0,0007896300
0,206;0,0007934810
0,207;0,0007973330
0,208;0,0008011850
0,209;0,0008050370
0,21;0,0008088890
0,211;0,0008127410
0,212;0,0008165930
0,213;0,0008204440
0,214;0,0008242960
0,215;0,0008281480
0,216;0,0008320000
0,217;0,0008358520
0,218;0,0008397040
0,219;0,0008435560
0,22;0,0008474070
0,221;0,0008512590
0,222;0,0008551110
0,223;0,0008589630
0,224;0,0008628150
0,225;0,0008666670
0,226;0,0008705190
0,227;0,0008743700
0,228;0,0008782220
0,229;0,0008820740
0,23;0,0008859260
0,231;0,0008897780
0,232;0,0008936300
0,233;0,0008974810
0,234;0,0009013330
0,235;0,0009051850
0,236;0,0009090370
0,237;0,0009128890
0,238;0,0009167410
0,239;0,0009205930
0,24;0,0009244440
0,241;0,0009282960
0,242;0,0009321480
0,243;0,0009360000
0,244;0,0009398520
0,245;0,0009437040
0,246;0,0009475560
0,247;0,0009514070
0,248;0,0009552590
0,249;0,0009591110
0,25;0,0009629630
0,251;0,0009668150
0,252;0,0009706670
0,253;0,0009745190
0,254;0,0009783700
0,255;0,0009822220
0,256;0,0009860740
0,257;0,0009899260
0,258;0,0009937780
0,259;0,0009976300
0,26;0,0010014810
0,261;0,0010053330
0,262;0,0010091850
0,263;0,0010130370
0,264;0,0010168890
0,265;0,0010207410
0,266;0,0010245930
0,267;0,0010284440
0,268;0,0010322960
0,269;0,0010361480
0,27;0,0010400000
0,271;0,0010399090
0,272;0,0010412880
0,273;0,0010426670
0,274;0,0010440460
0,275;0,0010454250
0,276;0,0010468040
0,277;0,0010481830
0,278;0,0010495620
0,279;0,0010509410
0,28;0,0010523200
0,281;0,0010536990
0,282;0,0010550780
0,283;0,0010564570
0,284;0,0010578360
0,285;0,0010592150
0,286;0,0010605940
0,287;0,0010619730
0,288;0,0010633520
0,289;0,0010647310
0,29;0,0010661100
0,291;0,0010674890
0,292;0,0010688680
0,293;0,0010702470
0,294;0,0010716260
0,295;0,0010730050
0,296;0,0010743840
0,297;0,0010757630
0,298;0,0010771420
0,299;0,0010785210
0,3;0,0010799000
0,301;0,0010812790
0,302;0,0010826580
0,303;0,0010840370
0,304;0,0010854160
0,305;0,0010867950
0,306;0,0010881740
0,307;0,0010895530
0,308;0,0010909320
0,309;0,0010923110
0,31;0,0010936900
0,311;0,0010950690
0,312;0,0010964480
0,313;0,0010978270
0,314;0,0010992060
0,315;0,0011005850
0,316;0,0011019640
0,317;0,0011033430
0,318;0,0011047220
0,319;0,0011061010
0,32;0,0011074800
0,321;0,0011088590
0,322;0,0011102380
0,323;0,0011116170
0,324;0,0011129960
0,325;0,0011143750
0,326;0,0011157540
0,327;0,0011171330
0,328;0,0011185120
0,329;0,0011198910
0,33;0,0011212700
0,331;0,0011226490
0,332;0,0011240280
0,333;0,0011254070
0,334;0,0011267860
0,335;0,0011281650
0,336;0,0011295440
0,337;0,0011309230
0,338;0,0011323020
0,339;0,0011336810
0,34;0,0011350600
0,341;0,0011364390
0,342;0,0011378180
0,343;0,0011391970
0,344;0,0011405760
0,345;0,0011419550
0,346;0,0011433340
0,347;0,0011447130
0,348;0,0011460920
0,349;0,0011474710
0,35;0,0011488500
0,351;0,0011502290
0,352;0,0011516080
0,353;0,0011529870
0,354;0,0011543660
0,355;0,0011557450
0,356;0,0011571240
0,357;0,0011585030
0,358;0,0011598820
0,359;0,0011612610
0,36;0,0011626400
0,361;0,0011640190
0,362;0,0011653980
0,363;0,0011667770
0,364;0,0011681560
0,365;0,0011695350
0,366;0,0011709140
0,367;0,0011722930
0,368;0,0011736720
0,369;0,0011750510
0,37;0,0011764300
0,371;0,0011778090
0,372;0,0011791880
0,373;0,0011805670
0,374;0,0011819460
0,375;0,0011833250
0,376;0,0011847040
0,377;0,0011860830
0,378;0,0011874620
0,379;0,0011888410
0,38;0,0011902200
0,381;0,0011915990
0,382;0,0011929780
0,383;0,0011943570
0,384;0,0011957360
0,385;0,0011971150
0,386;0,0011984940
0,387;0,0011998730
0,388;0,0012012520
0,389;0,0012026310
0,39;0,0012040100
0,391;0,0012053890
0,392;0,0012067680
0,393;0,0012081470
0,394;0,0012095260
0,395;0,0012109050
0,396;0,0012122840
0,397;0,0012136630
0,398;0,0012150420
0,399;0,0012164210
0,4;0,0012178000
0,401;0,0012191790
0,402;0,0012205580
0,403;0,0012219370
0,404;0,0012233160
0,405;0,0012246950
0,406;0,0012260740
0,407;0,0012274530
0,408;0,0012288320
0,409;0,0012302110
0,41;0,0012315900
0,411;0,0012329690
0,412;0,0012343480
0,413;0,0012357270
0,414;0,0012371060
0,415;0,0012384850
0,416;0,0012398640
0,417;0,0012412430
0,418;0,0012426220
0,419;0,0012440010
0,42;0,0012453800
0,421;0,0012467590
0,422;0,0012481380
0,423;0,0012495170
0,424;0,0012508960
0,425;0,0012522750
0,426;0,0012536540
0,427;0,0012550330
0,428;0,0012564120
0,429;0,0012577910
0,43;0,0012591700
0,431;0,0012605490
0,432;0,0012619280
0,433;0,0012633070
0,434;0,0012646860
0,435;0,0012660650
0,436;0,0012674440
0,437;0,0012688230
0,438;0,0012702020
0,439;0,0012715810
0,44;0,0012729600
0,441;0,0012743390
0,442;0,0012757180
0,443;0,0012770970
0,444;0,0012784760
0,445;0,0012798550
0,446;0,0012812340
0,447;0,0012826130
0,448;0,0012839920
0,449;0,0012853710
0,45;0,0012867500
0,451;0,0012881290
0,452;0,0012895080
0,453;0,0012908870
0,454;0,0012922660
0,455;0,0012936450
0,456;0,0012950240
0,457;0,0012964030
0,458;0,0012977820
0,459;0,0012991610
0,46;0,0013005400
0,461;0,0013019190
0,462;0,0013032980
0,463;0,0013046770
0,464;0,0013060560
0,465;0,0013074350
0,466;0,0013088140
0,467;0,0013101930
0,468;0,0013115720
0,469;0,0013129510
0,47;0,0013143300
0,471;0,0013157090
0,472;0,0013170880
0,473;0,0013184670
0,474;0,0013198460
0,475;0,0013212250
0,476;0,0013226040
0,477;0,0013239830
0,478;0,0013253620
0,479;0,0013267410
0,48;0,0013281200
0,481;0,0013294990
0,482;0,0013308780
0,483;0,0013322570
0,484;0,0013336360
0,485;0,0013350150
0,486;0,0013363940
0,487;0,0013377730
0,488;0,0013391520
0,489;0,0013405310
0,49;0,0013419100
0,491;0,0013432890
0,492;0,0013446680
0,493;0,0013460470
0,494;0,0013474260
0,495;0,0013488050
0,496;0,0013501840
0,497;0,0013515630
0,498;0,0013529420
0,499;0,0013543210
0,5;0,0013557000
0,501;0,0013570790
0,502;0,0013584580
0,503;0,0013598370
0,504;0,0013612160
0,505;0,0013625950
0,506;0,0013639740
0,507;0,0013653530
0,508;0,0013667320
0,509;0,0013681110
0,51;0,0013694900
0,511;0,0013708690
0,512;0,0013722480
0,513;0,0013736270
0,514;0,0013750060
0,515;0,0013763850
0,516;0,0013777640
0,517;0,0013791430
0,518;0,0013805220
0,519;0,0013819010
0,52;0,0013832800
0,521;0,0013846590
0,522;0,0013860380
0,523;0,0013874170
0,524;0,0013887960
0,525;0,0013901750
0,526;0,0013915540
0,527;0,0013929330
0,528;0,0013943120
0,529;0,0013956910
0,53;0,0013970700
0,531;0,0013984490
0,532;0,0013998280
0,533;0,0014012070
0,534;0,0014025860
0,535;0,0014039650
0,536;0,0014053440
0,537;0,0014067230
0,538;0,0014081020
0,539;0,0014094810
0,54;0,0014108600
0,541;0,0014122390
0,542;0,0014136180
0,543;0,0014149970
0,544;0,0014163760
0,545;0,0014177550
0,546;0,0014191340
0,547;0,0014205130
0,548;0,0014218920
0,549;0,0014232710
0,55;0,0014246500
0,551;0,0014260290
0,552;0,0014274080
0,553;0,0014287870
0,554;0,0014301660
0,555;0,0014315450
0,556;0,0014329240
0,557;0,0014343030
0,558;0,0014356820
0,559;0,0014370610
0,56;0,0014384400
0,561;0,0014398190
0,562;0,0014411980
0,563;0,0014425770
0,564;0,0014439560
0,565;0,0014453350
0,566;0,0014467140
0,567;0,0014480930
0,568;0,0014494720
0,569;0,0014508510
0,57;0,0014522300
0,571;0,0014536090
0,572;0,0014549880
0,573;0,0014563670
0,574;0,0014577460
0,575;0,0014591250
0,576;0,0014605040
0,577;0,0014618830
0,578;0,0014632620
0,579;0,0014646410
0,58;0,0014660200
0,581;0,0014673990
0,582;0,0014687780
0,583;0,0014701570
0,584;0,0014715360
0,585;0,0014729150
0,586;0,0014742940
0,587;0,0014756730
0,588;0,0014770520
0,589;0,0014784310
0,59;0,0014798100
0,591;0,0014811890
0,592;0,0014825680
0,593;0,0014839470
0,594;0,0014853260
0,595;0,0014867050
0,596;0,0014880840
0,597;0,0014894630
0,598;0,0014908420
0,599;0,0014922210
0,6;0,0014936000
0,601;0,0014949790
0,602;0,0014963580
0,603;0,0014977370
0,604;0,0014991160
0,605;0,0015004950
0,606;0,0015018740
0,607;0,0015032530
0,608;0,0015046320
0,609;0,0015060110
0,61;0,0015073900
0,611;0,0015087690
0,612;0,0015101480
0,613;0,0015115270
0,614;0,0015129060
0,615;0,0015142850
0,616;0,0015156640
0,617;0,0015170430
0,618;0,0015184220
0,619;0,0015198010
0,62;0,0015211800
0,621;0,0015225590
0,622;0,0015239380
0,623;0,0015253170
0,624;0,0015266960
0,625;0,0015280750
0,626;0,0015294540
0,627;0,0015308330
0,628;0,0015322120
0,629;0,0015335910
0,63;0,0015349700
0,631;0,0015363490
0,632;0,0015377280
0,633;0,0015391070
0,634;0,0015404860
0,635;0,0015418650
0,636;0,0015432440
0,637;0,0015446230
0,638;0,0015460020
0,639;0,0015473810
0,64;0,0015487600
0,641;0,0015501390
0,642;0,0015515180
0,643;0,0015528970
0,644;0,0015542760
0,645;0,0015556550
0,646;0,0015570340
0,647;0,0015584130
0,648;0,0015597920
0,649;0,0015611710
0,65;0,0015625500
0,651;0,0015639290
0,652;0,0015653080
0,653;0,0015666870
0,654;0,0015680660
0,655;0,0015694450
0,656;0,0015708240
0,657;0,0015722030
0,658;0,0015735820
0,659;0,0015749610
0,66;0,0015763400
0,661;0,0015777190
0,662;0,0015790980
0,663;0,0015804770
0,664;0,0015818560
0,665;0,0015832350
0,666;0,0015846140
0,667;0,0015859930
0,668;0,0015873720
0,669;0,0015887510
0,67;0,0015901300
0,671;0,0015915090
0,672;0,0015928880
0,673;0,0015942670
0,674;0,0015956460
0,675;0,0015970250
0,676;0,0015984040
0,677;0,0015997830
0,678;0,0016011620
0,679;0,0016025410
0,68;0,0016039200
0,681;0,0016052990
0,682;0,0016066780
0,683;0,0016080570
0,684;0,0016094360
0,685;0,0016108150
0,686;0,0016121940
0,687;0,0016135730
0,688;0,0016149520
0,689;0,0016163310
0,69;0,0016177100
0,691;0,0016190890
0,692;0,0016204680
0,693;0,0016218470
0,694;0,0016232260
0,695;0,0016246050
0,696;0,0016259840
0,697;0,0016273630
0,698;0,0016287420
0,699;0,0016301210
0,7;0,0016315000
0,701;0,0016328790
0,702;0,0016342580
0,703;0,0016356370
0,704;0,0016370160
0,705;0,0016383950
0,706;0,0016397740
0,707;0,0016411530
0,708;0,0016425320
0,709;0,0016439110
0,71;0,0016452900
0,711;0,0016466690
0,712;0,0016480480
0,713;0,0016494270
0,714;0,0016508060
0,715;0,0016521850
0,716;0,0016535640
0,717;0,0016549430
0,718;0,0016563220
0,719;0,0016577010
0,72;0,0016590800
0,721;0,0016604590
0,722;0,0016618380
0,723;0,0016632170
0,724;0,0016645960
0,725;0,0016659750
0,726;0,0016673540
0,727;0,0016687330
0,728;0,0016701120
0,729;0,0016714910
0,73;0,0016728700
0,731;0,0016742490
0,732;0,0016756280
0,733;0,0016770070
0,734;0,0016783860
0,735;0,0016797650
0,736;0,0016811440
0,737;0,0016825230
0,738;0,0016839020
0,739;0,0016852810
0,74;0,0016866600
0,741;0,0016880390
0,742;0,0016894180
0,743;0,0016907970
0,744;0,0016921760
0,745;0,0016935550
0,746;0,0016949340
0,747;0,0016963130
0,748;0,0016976920
0,749;0,0016990710
0,75;0,0017004500
0,751;0,0017018290
0,752;0,0017032080
0,753;0,0017045870
0,754;0,0017059660
0,755;0,0017073450
0,756;0,0017087240
0,757;0,0017101030
0,758;0,0017114820
0,759;0,0017128610
0,76;0,0017142400
0,761;0,0017156190
0,762;0,0017169980
0,763;0,0017183770
0,764;0,0017197560
0,765;0,0017211350
0,766;0,0017225140
0,767;0,0017238930
0,768;0,0017252720
0,769;0,0017266510
0,77;0,0017280300
0,771;0,0017294090
0,772;0,0017307880
0,773;0,0017321670
0,774;0,0017335460
0,775;0,0017349250
0,776;0,0017363040
0,777;0,0017376830
0,778;0,0017390620
0,779;0,0017404410
0,78;0,0017418200
0,781;0,0017431990
0,782;0,0017445780
0,783;0,0017459570
0,784;0,0017473360
0,785;0,0017487150
0,786;0,0017500940
0,787;0,0017514730
0,788;0,0017528520
0,789;0,0017542310
0,79;0,0017556100
0,791;0,0017569890
0,792;0,0017583680
0,793;0,0017597470
0,794;0,0017611260
0,795;0,0017625050
0,796;0,0017638840
0,797;0,0017652630
0,798;0,0017666420
0,799;0,0017680210
0,8;0,0017694000
0,801;0,0017707790
0,802;0,0017721580
0,803;0,0017735370
0,804;0,0017749160
0,805;0,0017762950
0,806;0,0017776740
0,807;0,0017790530
0,808;0,0017804320
0,809;0,0017818110
0,81;0,0017831900
0,811;0,0017845690
0,812;0,0017859480
0,813;0,0017873270
0,814;0,0017887060
0,815;0,0017900850
0,816;0,0017914640
0,817;0,0017928430
0,818;0,0017942220
0,819;0,0017956010
0,82;0,0017969800
0,821;0,0017983590
0,822;0,0017997380
0,823;0,0018011170
0,824;0,0018024960
0,825;0,0018038750
0,826;0,0018052540
0,827;0,0018066330
0,828;0,0018080120
0,829;0,0018093910
0,83;0,0018107700
0,831;0,0018121490
0,832;0,0018135280
0,833;0,0018149070
0,834;0,0018162860
0,835;0,0018176650
0,836;0,0018190440
0,837;0,0018204230
0,838;0,0018218020
0,839;0,0018231810
0,84;0,0018245600
0,841;0,0018259390
0,842;0,0018273180
0,843;0,0018286970
0,844;0,0018300760
0,845;0,0018314550
0,846;0,0018328340
0,847;0,0018342130
0,848;0,0018355920
0,849;0,0018369710
0,85;0,0018383500
0,851;0,0018397290
0,852;0,0018411080
0,853;0,0018424870
0,854;0,0018438660
0,855;0,0018452450
0,856;0,0018466240
0,857;0,0018480030
0,858;0,0018493820
0,859;0,0018507610
0,86;0,0018521400
0,861;0,0018535190
0,862;0,0018548980
0,863;0,0018562770
0,864;0,0018576560
0,865;0,0018590350
0,866;0,0018604140
0,867;0,0018617930
0,868;0,0018631720
0,869;0,0018645510
0,87;0,0018659300
0,871;0,0018673090
0,872;0,0018686880
0,873;0,0018700670
0,874;0,0018714460
0,875;0,0018728250
0,876;0,0018742040
0,877;0,0018755830
0,878;0,0018769620
0,879;0,0018783410
0,88;0,0018797200
0,881;0,0018810990
0,882;0,0018824780
0,883;0,0018838570
0,884;0,0018852360
0,885;0,0018866150
0,886;0,0018879940
0,887;0,0018893730
0,888;0,0018907520
0,889;0,0018921310
0,89;0,0018935100
0,891;0,0018948890
0,892;0,0018962680
0,893;0,0018976470
0,894;0,0018990260
0,895;0,0019004050
0,896;0,0019017840
0,897;0,0019031630
0,898;0,0019045420
0,899;0,0019059210
0,9;0,0019073000
0,901;0,0019086790
0,902;0,0019100580
0,903;0,0019114370
0,904;0,0019128160
0,905;0,0019141950
0,906;0,0019155740
0,907;0,0019169530
0,908;0,0019183320
0,909;0,0019197110
0,91;0,0019210900
0,911;0,0019224690
0,912;0,0019238480
0,913;0,0019252270
0,914;0,0019266060
0,915;0,0019279850
0,916;0,0019293640
0,917;0,0019307430
0,918;0,0019321220
0,919;0,0019335010
0,92;0,0019348800
0,921;0,0019362590
0,922;0,0019376380
0,923;0,0019390170
0,924;0,0019403960
0,925;0,0019417750
0,926;0,0019431540
0,927;0,0019445330
0,928;0,0019459120
0,929;0,0019472910
0,93;0,0019486700
0,931;0,0019500490
0,932;0,0019514280
0,933;0,0019528070
0,934;0,0019541860
0,935;0,0019555650
0,936;0,0019569440
0,937;0,0019583230
0,938;0,0019597020
0,939;0,0019610810
0,94;0,0019624600
0,941;0,0019638390
0,942;0,0019652180
0,943;0,0019665970
0,944;0,0019679760
0,945;0,0019693550
0,946;0,0019707340
0,947;0,0019721130
0,948;0,0019734920
0,949;0,0019748710
0,95;0,0019762500
0,951;0,0019776290
0,952;0,0019790080
0,953;0,0019803870
0,954;0,0019817660
0,955;0,0019831450
0,956;0,0019845240
0,957;0,0019859030
0,958;0,0019872820
0,959;0,0019886610
0,96;0,0019900400
0,961;0,0019914190
0,962;0,0019927980
0,963;0,0019941770
0,964;0,0019955560
0,965;0,0019969350
0,966;0,0019983140
0,967;0,0019996930
0,968;0,0020010720
0,969;0,0020024510
0,97;0,0020038300
0,971;0,0020052090
0,972;0,0020065880
0,973;0,0020079670
0,974;0,0020093460
0,975;0,0020107250
0,976;0,0020121040
0,977;0,0020134830
0,978;0,0020148620
0,979;0,0020162410
0,98;0,0020176200
0,981;0,0020189990
0,982;0,0020203780
0,983;0,0020217570
0,984;0,0020231360
0,985;0,0020245150
0,986;0,0020258940
0,987;0,0020272730
0,988;0,0020286520
0,989;0,0020300310
0,99;0,0020314100
0,991;0,0020327890
0,992;0,0020341680
0,993;0,0020355470
0,994;0,0020369260
0,995;0,0020383050
0,996;0,0020396840
0,997;0,0020410630
0,998;0,0020424420
0,999;0,0020438210
1;0,0020452000
