county,population
All,11689100
Franklin,1316756
Cuyahoga,1235072
Hamilton,817473
Summit,541013
Montgomery,531687
Lucas,428348
Butler,383134
Stark,370606
Lorain,309833
Warren,234602
Lake,230149
Mahoning,228683
Delaware,209177
Clermont,206428
Trumbull,197974
Medina,179746
Licking,176862
Greene,168937
Portage,162466
Fairfield,157574
Clark,134083
Wood,130817
Richland,121154
Wayne,115710
Miami,106987
Allen,102351
Columbiana,101883
Ashtabula,97241
Geauga,93649
Tuscarawas,91987
Muskingum,86215
Ross,76666
Hancock,75783
Scioto,75314
Erie,74266
Belmont,67006
Athens,65327
Jefferson,65325
Marion,65093
Knox,61481
Washington,60426
Lawrence,60184
Sandusky,59029
Huron,58339
Pickaway,57762
Union,56707
Seneca,55351
Ashland,53536
Darke,51513
Shelby,48749
Auglaize,45729
Logan,45316
Madison,44135
Holmes,43901
Brown,43572
Highland,43016
Fulton,42253
Clinton,41957
Crawford,41821
Preble,41093
Mercer,40884
Ottawa,40632
Guernsey,39111
Champaign,38845
Defiance,38160
Williams,36816
Coshocton,36585
Perry,36022
Morrow,35043
Putnam,33911
Jackson,32450
Hardin,31425
Gallia,30088
Fayette,28620
Hocking,28390
Van Wert, 28261
Pike,28000
Adams,27776
Carroll,27332
Henry,27208
Meigs,23078
Wyandot,22000
Paulding,18809
Harrison,15211
Morgan,14640
Noble,14416
Monroe,13942
Vinton,13083